Git,32.0
OTT,12.0
PLE,1.0
Hive,8.0
IPV6,8.0
MBTI,8.0
SASS,12.0
jBPM,40.0
CSS 3,16.0
D3 JS,8.0
HIPAA,1.0
Ionic,4.0
JUnit,16.0
RDBMS,10.0
UG-NX,30.0
iTrim,3.0
Drupal,24.0
Kanban,16.0
Pro *C,5.0
UIPath,24.0
Vert.X,16.0
Vue.js,40.0
jQuery,8.0
Angular,40.0
Endevor,4.0
Jasmine,16.0
Jenkins,8.0
Maestro,25.0
Node.js,24.0
PRAVESH,25.0
ReactJS,40.0
SAP BFC,8.0
SAP GRC,120.0
SAP GTS,24.0
SAP MDG,80.0
SAP PLM,10.0
SAP-TTT,8.0
Webpack,16.0
Xamarin,8.0
Backbase,40.0
CATIA V6,20.0
EXT JS 5,8.0
HTML 5.0,24.0
Kendo UI,16.0
MBTI LnD,8.0
Mocha JS,40.0
Mule ESB,8.0
RabbitMQ,8.0
SAFe 4.5,8.0
Sitecore,20.0
TTT-Java,4.0
Trifacta,40.0
WSO2 ESB,15.0
XPEDITOR,8.0
Zoomdata,24.0
Adobe DTM,16.0
Agile PLM,10.0
Angular 2,8.0
AngularJS,40.0
Axway API,30.0
Azure IoT,14.0
Basic C++,8.0
DB Tuning,8.0
ENOVIA V6,12.0
ESASAPUI5,16.0
Forgerock,40.0
ISO 13485,0.0
IVS iEDPS,68.0
IVS-Tosca,16.0
Lightning,60.0
MS Office,8.0
OBIEE 11g,40.0
SAP ARIBA,144.0
WordPress,49.0
ALM Basics,4.0
Blue Prism,30.0
CA Layer 7,30.0
Clustering,24.0
EBS R12 OM,48.0
ES-SAP BRF,6.0
Express.js,8.0
IBM Watson,40.0
IVS JMeter,12.0
IVS QADash,8.0
Javascript,24.0
Jboss Fuse,15.0
KM Seminar,2.0
KnockoutJS,16.0
MEAN Stack,129.0
MERN Stack,109.0
MSPEED_LnD,16.0
Oracle GTM,8.0
PLM Domain,16.0
Polymer.js,4.0
Power Play,3.0
Protractor,8.0
Require.js,16.0
SAP APO-DP,4.0
SAP HCM OM,8.0
SAP Lumira,16.0
SAP TechEd,27.0
Spring MVC,24.0
Teamcenter,0.0
Tosca 10.1,16.0
TypeScript,16.0
Windows L3,40.0
XLS macros,2.0
Apex and VF,120.0
Backbone.js,4.0
Cloud Craze,60.0
Creo Basics,80.0
Data Mining,8.0
ER Modeling,8.0
IBM Bluemix,16.0
IVS-CA LISA,12.0
Liferay DXP,48.0
Linux Admin,40.0
Naive Bayes,8.0
Native HANA,20.0
Orientation,2.0
P200-SAP-SD,160.0
Pravesh LnD,24.0
React-Redux,16.0
ReactNative,24.0
SMART FORMS,8.0
Service Max,60.0
Spring Boot,16.0
System Demo,2.0
API Overview,8.0
AS400 Tuning,4.0
Advanced C++,8.0
Apache Camel,16.0
Apache Maven,8.0
Apache Storm,16.0
Apple: Cocoa,32.0
Basic Python,40.0
Business 101,37.0
CATIA V5 VBA,40.0
ESA SAP FICO,160.0
ESEAIT-IBMMQ,16.0
Embedded SQL,4.0
IVS Fitnesse,3.0
IVS-Cucumber,8.0
IVS-Selenium,15.0
Java Project,16.0
Java Servlet,16.0
LTE Overview,8.0
Oracle DbaaS,16.0
Oracle Forms,40.0
